# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s1: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 1..100, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed    66 vw1 0.8635 vw0 0.1918 L1 0.4155 H0 0.3647 t1 7.3945e-04 t0 inf life 7.3945e-04 t0park inf lifepark 7.3945e-04  rbl 1.146 1.121 1.084 1.033 0.963 0.874 0.767 0.653 0.553 0.468 0.391 0.319 0.253 0.195 0.162 0.152 0.150 0.150 0.150
seed    67 vw1 0.8218 vw0 0.1913 L1 0.4126 H0 0.3603 t1 1.0278e-03 t0 inf life 1.0278e-03 t0park inf lifepark 1.0278e-03  rbl 1.144 1.117 1.078 1.024 0.950 0.856 0.745 0.635 0.541 0.459 0.385 0.315 0.249 0.192 0.160 0.151 0.150 0.150 0.150
seed    68 vw1 0.8113 vw0 0.1896 L1 0.4191 H0 0.3698 t1 1.0071e-03 t0 inf life 1.0071e-03 t0park inf lifepark 1.0071e-03  rbl 1.154 1.131 1.098 1.050 0.984 0.899 0.793 0.675 0.569 0.479 0.399 0.326 0.258 0.198 0.163 0.152 0.150 0.150 0.150
seed    69 vw1 0.8691 vw0 0.1959 L1 0.443 H0 0.3913 t1 7.0682e-04 t0 inf life 7.0682e-04 t0park inf lifepark 7.0682e-04  rbl 1.167 1.150 1.125 1.090 1.039 0.970 0.881 0.774 0.661 0.561 0.476 0.400 0.329 0.262 0.203 0.165 0.152 0.150 0.150
seed    70 vw1 0.8500 vw0 0.1891 L1 0.4424 H0 0.3897 t1 7.3359e-04 t0 inf life 7.3359e-04 t0park inf lifepark 7.3359e-04  rbl 1.166 1.148 1.123 1.087 1.035 0.964 0.874 0.766 0.654 0.558 0.475 0.399 0.329 0.262 0.203 0.165 0.152 0.150 0.150
seed    71 vw1 0.8694 vw0 0.1913 L1 0.4166 H0 0.3633 t1 7.4311e-04 t0 inf life 7.4311e-04 t0park inf lifepark 7.4311e-04  rbl 1.146 1.120 1.083 1.030 0.959 0.867 0.758 0.649 0.555 0.472 0.397 0.327 0.261 0.202 0.164 0.152 0.150 0.150 0.150
seed    72 vw1 0.8578 vw0 0.1876 L1 0.4371 H0 0.3891 t1 6.8543e-04 t0 inf life 6.8543e-04 t0park inf lifepark 6.8543e-04  rbl 1.167 1.150 1.125 1.088 1.036 0.966 0.876 0.767 0.648 0.543 0.454 0.375 0.302 0.235 0.182 0.157 0.151 0.150 0.150
seed    73 vw1 0.8212 vw0 0.1852 L1 0.4252 H0 0.3699 t1 8.9946e-04 t0 inf life 8.9946e-04 t0park inf lifepark 8.9946e-04  rbl 1.150 1.126 1.092 1.043 0.977 0.890 0.786 0.678 0.584 0.501 0.425 0.354 0.287 0.224 0.176 0.155 0.151 0.150 0.150
seed    74 vw1 0.8066 vw0 0.1920 L1 0.3582 H0 0.3037 t1 1.4076e-03 t0 inf life 1.4076e-03 t0park inf lifepark 1.4076e-03  rbl 1.063 1.004 0.925 0.826 0.715 0.613 0.526 0.447 0.374 0.306 0.241 0.186 0.158 0.151 0.150 0.150 0.150 0.150 0.150
seed    75 vw1 0.8350 vw0 0.1910 L1 0.3794 H0 0.3255 t1 1.0900e-03 t0 inf life 1.0900e-03 t0park inf lifepark 1.0900e-03  rbl 1.101 1.057 0.996 0.915 0.814 0.702 0.601 0.514 0.436 0.364 0.297 0.234 0.182 0.157 0.151 0.150 0.150 0.150 0.150
