# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s101: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   152 vw1 0.8612 vw0 0.1991 L1 0.3701 H0 0.3167 t1 1.0096e-03 t0 2.7440e-04 life 2.7440e-04 t0park inf lifepark 1.0096e-03  rbl 1.087 1.037 0.970 0.881 0.774 0.663 0.567 0.484 0.408 0.338 0.271 0.211 0.169 0.153 0.150 0.150 0.150 0.150 0.150
seed   153 vw1 0.8197 vw0 0.1883 L1 0.4271 H0 0.3735 t1 9.3130e-04 t0 inf life 9.3130e-04 t0park inf lifepark 9.3130e-04  rbl 1.154 1.132 1.100 1.054 0.991 0.908 0.805 0.693 0.593 0.507 0.429 0.357 0.290 0.227 0.178 0.156 0.151 0.150 0.150
seed   154 vw1 0.8316 vw0 0.1936 L1 0.4076 H0 0.3558 t1 1.0252e-03 t0 inf life 1.0252e-03 t0park inf lifepark 1.0252e-03  rbl 1.139 1.110 1.069 1.011 0.934 0.837 0.725 0.617 0.525 0.444 0.370 0.300 0.235 0.183 0.157 0.151 0.150 0.150 0.150
seed   155 vw1 0.8566 vw0 0.1867 L1 0.3955 H0 0.3444 t1 7.9508e-04 t0 8.8868e-04 life 7.9508e-04 t0park inf lifepark 7.9508e-04  rbl 1.128 1.094 1.046 0.980 0.894 0.789 0.674 0.572 0.484 0.406 0.333 0.265 0.204 0.165 0.152 0.150 0.150 0.150 0.150
seed   156 vw1 0.8573 vw0 0.1903 L1 0.3961 H0 0.3431 t1 8.4296e-04 t0 inf life 8.4296e-04 t0park inf lifepark 8.4296e-04  rbl 1.125 1.091 1.042 0.975 0.887 0.781 0.669 0.571 0.487 0.410 0.339 0.272 0.211 0.169 0.153 0.150 0.150 0.150 0.150
seed   157 vw1 0.8282 vw0 0.1905 L1 0.4441 H0 0.3915 t1 8.3695e-04 t0 inf life 8.3695e-04 t0park inf lifepark 8.3695e-04  rbl 1.167 1.150 1.125 1.089 1.038 0.969 0.880 0.774 0.662 0.564 0.480 0.404 0.333 0.266 0.206 0.166 0.153 0.150 0.150
seed   158 vw1 0.8702 vw0 0.1940 L1 0.4375 H0 0.3864 t1 7.0126e-04 t0 inf life 7.0126e-04 t0park inf lifepark 7.0126e-04  rbl 1.164 1.146 1.120 1.081 1.027 0.954 0.862 0.751 0.638 0.542 0.458 0.383 0.313 0.247 0.191 0.160 0.151 0.150 0.150
seed   159 vw1 0.7964 vw0 0.1921 L1 0.3956 H0 0.3415 t1 1.2395e-03 t0 inf life 1.2395e-03 t0park inf lifepark 1.2395e-03  rbl 1.122 1.087 1.037 0.968 0.879 0.772 0.663 0.568 0.486 0.411 0.341 0.275 0.214 0.170 0.154 0.150 0.150 0.150 0.150
seed   160 vw1 0.8401 vw0 0.1963 L1 0.3824 H0 0.3309 t1 1.1389e-03 t0 inf life 1.1389e-03 t0park inf lifepark 1.1389e-03  rbl 1.110 1.069 1.012 0.936 0.839 0.726 0.617 0.524 0.443 0.369 0.300 0.236 0.183 0.157 0.151 0.150 0.150 0.150 0.150
seed   161 vw1 0.8528 vw0 0.1910 L1 0.408 H0 0.3553 t1 8.5585e-04 t0 inf life 8.5585e-04 t0park inf lifepark 8.5585e-04  rbl 1.138 1.109 1.067 1.009 0.932 0.835 0.722 0.616 0.526 0.446 0.372 0.303 0.239 0.186 0.158 0.151 0.150 0.150 0.150
seed   162 vw1 0.8954 vw0 0.1961 L1 0.4251 H0 0.3741 t1 5.7318e-04 t0 inf life 5.7318e-04 t0park inf lifepark 5.7318e-04  rbl 1.155 1.133 1.102 1.056 0.994 0.912 0.810 0.696 0.590 0.500 0.421 0.348 0.280 0.218 0.172 0.154 0.150 0.150 0.150
seed   163 vw1 0.8362 vw0 0.1945 L1 0.3823 H0 0.3292 t1 1.1068e-03 t0 inf life 1.1068e-03 t0park inf lifepark 1.1068e-03  rbl 1.108 1.067 1.008 0.930 0.831 0.718 0.613 0.523 0.444 0.370 0.301 0.236 0.183 0.157 0.151 0.150 0.150 0.150 0.150
seed   164 vw1 0.8758 vw0 0.1980 L1 0.3979 H0 0.3472 t1 7.6736e-04 t0 6.4215e-04 life 6.4215e-04 t0park inf lifepark 7.6736e-04  rbl 1.132 1.099 1.054 0.990 0.907 0.803 0.687 0.582 0.492 0.414 0.341 0.273 0.212 0.169 0.153 0.150 0.150 0.150 0.150
seed   165 vw1 0.8438 vw0 0.1913 L1 0.4368 H0 0.3897 t1 8.0268e-04 t0 inf life 8.0268e-04 t0park inf lifepark 8.0268e-04  rbl 1.167 1.150 1.125 1.088 1.037 0.967 0.879 0.771 0.651 0.543 0.452 0.372 0.299 0.233 0.181 0.156 0.151 0.150 0.150
seed   166 vw1 0.8248 vw0 0.1934 L1 0.4274 H0 0.3705 t1 9.6412e-04 t0 inf life 9.6412e-04 t0park inf lifepark 9.6412e-04  rbl 1.149 1.125 1.091 1.043 0.977 0.891 0.787 0.681 0.588 0.507 0.433 0.364 0.298 0.236 0.184 0.158 0.151 0.150 0.150
seed   167 vw1 0.8317 vw0 0.1961 L1 0.367 H0 0.3135 t1 1.2572e-03 t0 inf life 1.2572e-03 t0park inf lifepark 1.2572e-03  rbl 1.080 1.029 0.958 0.867 0.758 0.650 0.556 0.474 0.399 0.329 0.262 0.203 0.165 0.152 0.150 0.150 0.150 0.150 0.150
seed   168 vw1 0.8628 vw0 0.1913 L1 0.4449 H0 0.3932 t1 6.7803e-04 t0 inf life 6.7803e-04 t0park inf lifepark 6.7803e-04  rbl 1.168 1.151 1.128 1.093 1.043 0.976 0.889 0.783 0.669 0.569 0.482 0.405 0.334 0.266 0.206 0.167 0.153 0.150 0.150
seed   169 vw1 0.7887 vw0 0.1896 L1 0.451 H0 0.4029 t1 9.1223e-04 t0 inf life 9.1223e-04 t0park inf lifepark 9.1223e-04  rbl 1.174 1.160 1.139 1.110 1.066 1.006 0.927 0.829 0.713 0.599 0.503 0.421 0.346 0.276 0.214 0.170 0.153 0.150 0.150
seed   170 vw1 0.8250 vw0 0.1893 L1 0.4233 H0 0.3647 t1 9.2903e-04 t0 inf life 9.2903e-04 t0park inf lifepark 9.2903e-04  rbl 1.143 1.117 1.079 1.027 0.955 0.863 0.758 0.659 0.572 0.495 0.423 0.354 0.289 0.227 0.179 0.156 0.151 0.150 0.150
seed   171 vw1 0.8243 vw0 0.1915 L1 0.4148 H0 0.3644 t1 1.0034e-03 t0 inf life 1.0034e-03 t0park inf lifepark 1.0034e-03  rbl 1.147 1.122 1.086 1.034 0.965 0.875 0.766 0.651 0.551 0.465 0.388 0.317 0.251 0.194 0.161 0.152 0.150 0.150 0.150
seed   172 vw1 0.8236 vw0 0.1959 L1 0.4258 H0 0.3744 t1 9.8385e-04 t0 inf life 9.8385e-04 t0park inf lifepark 9.8385e-04  rbl 1.155 1.134 1.102 1.057 0.995 0.913 0.812 0.697 0.592 0.503 0.424 0.351 0.283 0.220 0.174 0.154 0.150 0.150 0.150
seed   173 vw1 0.8031 vw0 0.1874 L1 0.4111 H0 0.3591 t1 1.0603e-03 t0 inf life 1.0603e-03 t0park inf lifepark 1.0603e-03  rbl 1.142 1.115 1.076 1.021 0.947 0.852 0.740 0.630 0.536 0.454 0.380 0.310 0.245 0.189 0.159 0.151 0.150 0.150 0.150
seed   174 vw1 0.8825 vw0 0.1965 L1 0.3893 H0 0.3369 t1 7.4900e-04 t0 2.9010e-04 life 2.9010e-04 t0park inf lifepark 7.4900e-04  rbl 1.116 1.078 1.025 0.953 0.861 0.752 0.642 0.547 0.465 0.389 0.319 0.253 0.196 0.162 0.152 0.150 0.150 0.150 0.150
seed   175 vw1 0.8444 vw0 0.1920 L1 0.3865 H0 0.3342 t1 1.0265e-03 t0 inf life 1.0265e-03 t0park inf lifepark 1.0265e-03  rbl 1.114 1.075 1.020 0.946 0.852 0.740 0.631 0.537 0.456 0.382 0.313 0.248 0.192 0.160 0.151 0.150 0.150 0.150 0.150
seed   176 vw1 0.8256 vw0 0.1887 L1 0.4293 H0 0.3719 t1 8.9563e-04 t0 inf life 8.9563e-04 t0park inf lifepark 8.9563e-04  rbl 1.152 1.128 1.095 1.048 0.982 0.897 0.793 0.687 0.594 0.513 0.438 0.369 0.302 0.240 0.187 0.159 0.151 0.150 0.150
