# 2026-09-25T11:08:13+08:00 run mc-base-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=2m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_ff_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 2m
seed    55 vw1 0.8514 vw0 -0.0329 L1 0.1968 H0 0.1465 t1 1.0465e-06 t0 1.9931e-06 life 1.0465e-06  rbl 1.081 1.023 0.934 0.810 0.682 0.577 0.489 0.409 0.335 0.265 0.198 0.133 0.072 0.025 0.005
seed    56 vw1 0.8277 vw0 -0.0394 L1 0.1906 H0 0.1399 t1 1.8979e-06 t0 3.1792e-06 life 1.8979e-06  rbl 1.072 1.006 0.906 0.773 0.650 0.553 0.468 0.390 0.318 0.248 0.181 0.116 0.057 0.017 0.003
seed    57 vw1 0.8525 vw0 -0.0345 L1 0.1889 H0 0.1396 t1 1.0753e-06 t0 1.6805e-06 life 1.0753e-06  rbl 1.066 0.999 0.899 0.771 0.649 0.548 0.461 0.382 0.309 0.239 0.172 0.107 0.049 0.013 0.002
seed    58 vw1 0.8570 vw0 -0.0314 L1 0.1836 H0 0.1318 t1 1.0171e-06 t0 1.3387e-06 life 1.0171e-06  rbl 1.054 0.978 0.866 0.730 0.619 0.528 0.447 0.372 0.301 0.233 0.168 0.104 0.048 0.013 0.002
seed    59 vw1 0.8598 vw0 -0.0313 L1 0.1866 H0 0.1386 t1 1.0277e-06 t0 1.5380e-06 life 1.0277e-06  rbl 1.052 0.982 0.884 0.765 0.645 0.541 0.452 0.372 0.299 0.228 0.161 0.097 0.042 0.010 0.001
seed    60 vw1 0.8738 vw0 -0.0288 L1 0.228 H0 0.1787 t1 6.2843e-07 t0 2.9608e-06 life 6.2843e-07  rbl 1.132 1.100 1.049 0.968 0.849 0.716 0.604 0.510 0.427 0.351 0.279 0.210 0.144 0.081 0.030
seed    61 vw1 0.8512 vw0 -0.0344 L1 0.1569 H0 0.1085 t1 1.1178e-06 t0 6.8049e-07 life 6.8049e-07  rbl 0.961 0.859 0.740 0.623 0.524 0.437 0.359 0.286 0.216 0.148 0.084 0.032 0.007 0.001 0.000
seed    62 vw1 0.8129 vw0 -0.0437 L1 0.1747 H0 0.1241 t1 3.1353e-06 t0 3.4393e-06 life 3.1353e-06  rbl 1.029 0.945 0.826 0.695 0.588 0.499 0.419 0.345 0.275 0.208 0.143 0.081 0.031 0.007 0.001
seed    63 vw1 0.8534 vw0 -0.0332 L1 0.1923 H0 0.1446 t1 1.0670e-06 t0 1.8689e-06 life 1.0670e-06  rbl 1.065 1.000 0.909 0.795 0.674 0.564 0.471 0.389 0.313 0.242 0.173 0.108 0.050 0.013 0.002
seed    64 vw1 0.8624 vw0 -0.0297 L1 0.1836 H0 0.1327 t1 9.5155e-07 t0 1.2548e-06 life 9.5155e-07  rbl 1.051 0.977 0.868 0.735 0.621 0.528 0.446 0.371 0.300 0.232 0.166 0.103 0.047 0.013 0.002
seed    65 vw1 0.8407 vw0 -0.0357 L1 0.1997 H0 0.1515 t1 1.4352e-06 t0 3.2396e-06 life 1.4352e-06  rbl 1.090 1.035 0.952 0.836 0.707 0.594 0.499 0.416 0.340 0.268 0.200 0.134 0.073 0.025 0.005
seed    66 vw1 0.8653 vw0 -0.0298 L1 0.1949 H0 0.1459 t1 7.9460e-07 t0 1.3137e-06 life 7.9460e-07  rbl 1.069 1.006 0.916 0.801 0.680 0.573 0.481 0.400 0.325 0.254 0.186 0.121 0.061 0.019 0.003
seed    67 vw1 0.8239 vw0 -0.0408 L1 0.1883 H0 0.1392 t1 2.1931e-06 t0 3.6110e-06 life 2.1931e-06  rbl 1.064 0.997 0.897 0.770 0.647 0.546 0.459 0.380 0.307 0.238 0.170 0.106 0.049 0.013 0.002
seed    68 vw1 0.8135 vw0 -0.0431 L1 0.1943 H0 0.1471 t1 2.4072e-06 t0 4.9508e-06 life 2.4072e-06  rbl 1.076 1.016 0.926 0.811 0.685 0.573 0.478 0.395 0.318 0.247 0.178 0.112 0.053 0.015 0.002
seed    69 vw1 0.8710 vw0 -0.0286 L1 0.2217 H0 0.1725 t1 8.0416e-07 t0 3.1485e-06 life 8.0416e-07  rbl 1.125 1.090 1.033 0.945 0.819 0.687 0.579 0.488 0.407 0.332 0.262 0.194 0.129 0.068 0.023
seed    70 vw1 0.8522 vw0 -0.0332 L1 0.2206 H0 0.171 t1 9.2662e-07 t0 3.6246e-06 life 9.2662e-07  rbl 1.125 1.088 1.030 0.939 0.810 0.679 0.574 0.484 0.404 0.330 0.260 0.192 0.127 0.066 0.022
seed    71 vw1 0.8712 vw0 -0.0289 L1 0.1974 H0 0.1469 t1 7.5946e-07 t0 1.3553e-06 life 7.5946e-07  rbl 1.082 1.023 0.933 0.810 0.685 0.580 0.491 0.410 0.336 0.265 0.197 0.131 0.070 0.023 0.004
seed    72 vw1 0.8598 vw0 -0.0317 L1 0.2165 H0 0.1698 t1 7.8449e-07 t0 2.6347e-06 life 7.8449e-07  rbl 1.113 1.071 1.005 0.912 0.797 0.674 0.563 0.468 0.384 0.308 0.236 0.166 0.101 0.043 0.011
seed    73 vw1 0.8236 vw0 -0.0413 L1 0.2023 H0 0.1512 t1 1.6910e-06 t0 3.9316e-06 life 1.6910e-06  rbl 1.095 1.044 0.962 0.841 0.705 0.597 0.507 0.427 0.352 0.281 0.213 0.146 0.084 0.032 0.007
seed    74 vw1 0.8085 vw0 -0.0455 L1 0.1343 H0 0.084 t1 3.5302e-06 t0 1.1375e-06 life 1.1375e-06  rbl 0.864 0.741 0.627 0.531 0.447 0.370 0.298 0.228 0.161 0.097 0.041 0.010 0.001 0.000 0.000
seed    75 vw1 0.8369 vw0 -0.0374 L1 0.1564 H0 0.1062 t1 1.5578e-06 t0 9.1813e-07 life 9.1813e-07  rbl 0.959 0.853 0.728 0.615 0.521 0.438 0.362 0.291 0.223 0.157 0.094 0.040 0.010 0.001 0.000
seed    76 vw1 0.8243 vw0 -0.0407 L1 0.2109 H0 0.1618 t1 1.6885e-06 t0 5.4454e-06 life 1.6885e-06  rbl 1.109 1.065 0.995 0.890 0.757 0.636 0.537 0.451 0.374 0.301 0.231 0.165 0.101 0.045 0.012
seed    77 vw1 0.8073 vw0 -0.0457 L1 0.1431 H0 0.0914 t1 3.1762e-06 t0 1.2867e-06 life 1.2867e-06  rbl 0.901 0.778 0.659 0.562 0.477 0.399 0.327 0.258 0.191 0.127 0.067 0.022 0.004 0.000 0.000
seed    78 vw1 0.8541 vw0 -0.0326 L1 0.1866 H0 0.1363 t1 1.1839e-06 t0 1.7249e-06 life 1.1839e-06  rbl 1.058 0.987 0.883 0.753 0.635 0.539 0.455 0.378 0.306 0.237 0.171 0.107 0.050 0.014 0.002
seed    79 vw1 0.8164 vw0 -0.0419 L1 0.1703 H0 0.122 t1 2.5893e-06 t0 2.5819e-06 life 2.5819e-06  rbl 1.010 0.923 0.810 0.685 0.575 0.483 0.401 0.326 0.256 0.188 0.124 0.064 0.021 0.004 0.000
seed    80 vw1 0.8547 vw0 -0.0317 L1 0.1457 H0 0.0939 t1 1.1027e-06 t0 4.7054e-07 life 4.7054e-07  rbl 0.906 0.789 0.671 0.572 0.485 0.407 0.333 0.264 0.197 0.132 0.071 0.025 0.005 0.001 0.000
seed    81 vw1 0.9045 vw0 -0.0223 L1 0.2121 H0 0.1598 t1 3.7440e-07 t0 9.1608e-07 life 3.7440e-07  rbl 1.108 1.061 0.986 0.875 0.744 0.633 0.540 0.457 0.381 0.310 0.241 0.174 0.110 0.051 0.014
seed    82 vw1 0.8461 vw0 -0.0337 L1 0.1804 H0 0.1319 t1 1.3066e-06 t0 1.6336e-06 life 1.3066e-06  rbl 1.037 0.960 0.855 0.732 0.616 0.518 0.433 0.356 0.284 0.216 0.150 0.087 0.035 0.008 0.001
seed    83 vw1 0.8481 vw0 -0.0331 L1 0.2161 H0 0.1665 t1 1.1254e-06 t0 4.1006e-06 life 1.1254e-06  rbl 1.123 1.084 1.023 0.925 0.786 0.656 0.555 0.469 0.391 0.319 0.249 0.183 0.118 0.059 0.018
seed    84 vw1 0.8531 vw0 -0.0330 L1 0.1865 H0 0.1372 t1 1.0751e-06 t0 1.6276e-06 life 1.0751e-06  rbl 1.055 0.984 0.882 0.758 0.639 0.540 0.453 0.375 0.302 0.232 0.165 0.100 0.044 0.011 0.002
seed    85 vw1 0.8274 vw0 -0.0394 L1 0.1837 H0 0.1341 t1 1.8872e-06 t0 2.6524e-06 life 1.8872e-06  rbl 1.053 0.980 0.873 0.742 0.626 0.529 0.445 0.368 0.296 0.227 0.160 0.096 0.041 0.010 0.001
